User Pedon ID                 ,Top Depth,Bottom Depth,featNew
1974SD089001                  ,0,114,Mollic
1963SD089001                  ,66,97,Secondary Carbonates
1978SD089002                  ,8,152,Secondary Carbonates
1978SD089001                  ,0,76,Mollic
1980ND043001                  ,0,152,Mollic
1957ND029002                  ,0,145,Aquic Conditions
1957ND029001                  ,0,20,Mollic
1989ND047001                  ,0,193,Aquic Conditions
1986ND105001                  ,0,30,Mollic
1991SD115023                  ,0,124,Mollic
2020ND055131                  ,0,120,Aquic Conditions
2020ND093102                  ,0,105,Aquic Conditions
2020ND093120                  ,0,110,Aquic Conditions
2005ND101122                  ,0,84,Mollic
2019ND079132                  ,0,45,Mollic
2019ND095261                  ,90,110,Secondary Carbonates
2019ND095270                  ,0,51,Mollic
2020ND019011                  ,0,20,Mollic
2020ND019012                  ,0,100,Mollic
2020ND071010                  ,0,100,Mollic
2020ND095012                  ,0,75,Mollic
2020ND095013                  ,0,40,Mollic
2020ND055012                  ,0,115,Mollic
2020ND055030                  ,0,150,Mollic
2020ND055052                  ,0,100,Mollic
2020ND015011                  ,0,8,Mollic
2020ND101020                  ,0,150,Aquic Conditions
2020ND101032                  ,0,100,Aquic Conditions
2020ND093012                  ,40,200,Aquic Conditions
2020ND055090                  ,0,120,Aquic Conditions
2020ND055092                  ,0,80,Mollic
2020ND055112                  ,0,80,Mollic
2020ND055120                  ,0,18,Mollic
2020ND055122                  ,0,100,Mollic
2020ND055121                  ,0,100,Aquic Conditions
2020ND055130                  ,26,120,Mollic
2020ND055140                  ,0,120,Mollic
2020ND055141                  ,0,35,Mollic
2020ND055022                  ,70,100,Aquic Conditions
2020ND061020                  ,0,100,Aquic Conditions
2020ND061042                  ,0,120,Mollic
2020ND061130                  ,0,60,Mollic
2020ND061140                  ,0,73,Mollic
2020ND101053                  ,0,130,Mollic
2020ND101070                  ,0,125,Mollic
2020ND101170                  ,0,100,Mollic
2020ND101172                  ,0,98,Mollic
2020ND023040                  ,0,30,Mollic
2020ND023042                  ,0,100,Mollic
2020ND023060                  ,0,120,Mollic
2020ND023070                  ,0,104,Mollic
2020ND023080                  ,0,90,Mollic
2020ND023082                  ,0,125,Mollic
2020ND023102                  ,0,100,Mollic
2020ND023122                  ,80,120,Secondary Carbonates
2020ND023130                  ,5,83,Mollic
2020ND023131                  ,93,111,Secondary Carbonates
2020ND023132                  ,4,60,Mollic
2020ND023142                  ,90,115,Secondary Carbonates
2020ND023162                  ,0,60,Mollic
2020ND023170                  ,0,110,Aquic Conditions
2020ND023180                  ,0,100,Aquic Conditions
2020ND023232                  ,0,28,Mollic
2020ND045020                  ,0,53,Mollic
2020ND045021                  ,0,23,Mollic
2020ND047060                  ,0,54,Mollic
2020ND047062                  ,0,110,Aquic Conditions
2020ND083010                  ,0,80,Mollic
2020ND083062                  ,0,18,Mollic
2020ND083090                  ,0,100,Mollic
2020ND083130                  ,0,30,Mollic
2020ND083131                  ,0,115,Aquic Conditions
2021ND019291                  ,0,35,Mollic
2021ND101002                  ,0,76,Mollic
2021ND101005                  ,0,95,Mollic
2021ND015002                  ,0,80,Mollic
2021ND093007                  ,0,110,Aquic Conditions
2021ND093008                  ,0,100,Mollic
2021ND051008                  ,0,115,Mollic
2021ND083008                  ,0,110,Mollic
2021ND071001                  ,0,60,Mollic
2021ND099272                  ,0,82,Mollic
2021ND019421                  ,0,40,Mollic
2021ND019562                  ,150,            ,Secondary Carbonates
1986SD037003                  ,0,119,Mollic
1987SD077009                  ,25,152,Aquic Conditions
1985SD057004                  ,0,124,Mollic
1992SD025023                  ,0,152,Aquic Conditions
2021ND063102                  ,0,53,Mollic
2021ND099292                  ,0,66,Mollic
2021ND099220                  ,0,60,Mollic
2021ND099180                  ,0,130,Aquic Conditions
2021ND099022                  ,0,70,Mollic
2021ND071040                  ,0,65,Mollic
